Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB109--BBa_J61108	18668	7780	7926	934	632	801	213	160	34	2	185	0	1
apFAB312--BBa_J61132	18629	4834	3387	116	208	2133	3931	3342	379	257	41	1	0
apFAB312--apFAB916	18622	3588	2247	3	22	58	4	16	418	6586	4023	1656	1
apFAB104--BBa_J61129	18620	5100	6101	3298	2391	1141	295	221	12	3	57	1	0
apFAB338--apFAB901	18615	4034	2896	76	155	2740	4646	3033	517	105	91	129	193
BBa_J23114--apFAB834	18606	4317	4877	3176	2022	3241	802	114	57	0	0	0	0
apFAB259--apFAB876	18586	4750	3071	23	54	1546	4028	4239	789	74	9	3	0
BBa_J23116--apFAB831	18577	4732	6301	3261	1734	2051	404	39	7	0	47	0	1
BBa_J23118--apFAB833	18574	3031	1861	1	1	2	1	4	78	1933	6106	4967	589
BBa_J23108--BBa_J61103	18562	8406	6889	1708	989	181	47	108	0	122	111	1	0
apFAB339--apFAB903	18519	4995	6585	2837	1754	1713	201	70	24	41	180	118	1
apFAB109--apFAB876	18480	7932	7118	1479	984	387	100	89	33	79	271	2	6
apFAB312--apFAB821	18475	5106	5680	2226	1950	2853	464	127	62	0	4	1	2
apFAB104--apFAB833	18473	4717	3286	7	22	79	604	4122	4463	1071	98	2	2
apFAB346--apFAB837	18473	3165	2102	0	1	6	2	3	3	122	1455	8838	2776
apFAB302--apFAB917	18431	3176	2112	2	0	4	32	4	33	411	3432	7269	1956
apFAB311--apFAB865	18425	7334	6735	1592	1371	905	37	194	104	21	131	1	0
BBa_J23105--apFAB894	18414	4776	5192	3235	2663	2332	74	75	24	8	34	1	0
apFAB342--apFAB954	18399	4069	2983	100	178	3708	4030	2653	468	203	5	2	0
apFAB311--BBa_J61113	18368	4124	3071	780	1169	6188	2059	834	96	2	45	0	0
apFAB259--BBa_J61103	18361	7694	6468	1886	1119	768	44	97	39	2	244	0	0
BBa_J23108--apFAB834	18346	5140	4906	1980	2241	3426	342	94	16	49	152	0	0
